,N,Q_1 [lb/h],proportion_%
/record_45,2485,25,1.0060362173038229
/record_450,3335,26,0.7796101949025487
/record_451,4167,2,0.04799616030717543
/record_452,1899,32,1.685097419694576
/record_453,2286,33,1.4435695538057742
/record_454,2146,18,0.8387698042870456
/record_455,2697,31,1.1494252873563218
/record_456,2130,19,0.892018779342723
/record_457,1970,111,5.634517766497462
/record_458,1301,22,1.6910069177555727
/record_459,1344,6,0.4464285714285714
/record_46,3060,39,1.2745098039215685
/record_460,3598,22,0.6114508060033352
/record_461,2980,103,3.4563758389261747
/record_462,1488,29,1.9489247311827957
/record_463,1627,0,0.0
/record_464,1570,19,1.210191082802548
/record_465,1785,78,4.369747899159663
/record_466,2566,14,0.5455962587685114
/record_467,2031,4,0.19694731659281145
/record_468,2537,49,1.931415057154119
/record_469,2889,22,0.761509172724126
/record_47,3347,0,0.0
/record_470,2419,57,2.3563455973542786
/record_471,2462,43,1.7465475223395612
/record_472,684,10,1.461988304093567
/record_473,2316,34,1.468048359240069
/record_474,2535,25,0.9861932938856016
/record_475,2372,1,0.042158516020236084
/record_476,3681,24,0.6519967400162999
/record_477,4101,21,0.5120702267739575
/record_478,3693,32,0.8665041971297048
/record_479,4224,12,0.2840909090909091
/record_48,3788,15,0.395987328405491
/record_480,1884,11,0.583864118895966
/record_481,2011,35,1.74042764793635
/record_482,1497,6,0.4008016032064128
/record_483,2304,12,0.5208333333333333
/record_484,2100,11,0.5238095238095238
/record_485,1924,22,1.1434511434511436
/record_486,2811,12,0.42689434364994666
/record_487,956,23,2.405857740585774
/record_488,1729,85,4.9161364950838635
/record_489,1685,53,3.1454005934718103
/record_49,4161,21,0.5046863734679163
/record_490,2379,13,0.546448087431694
/record_491,3297,3,0.09099181073703368
/record_492,3975,47,1.1823899371069182
/record_493,3439,64,1.8610061064262866
/record_494,3530,60,1.69971671388102
/record_495,2939,4,0.13610071452875128
/record_496,2074,26,1.253616200578592
/record_497,2136,1,0.04681647940074907
/record_498,3475,30,0.8633093525179856
/record_499,3182,58,1.8227529855436833
/record_50,1341,19,1.4168530947054436
/record_500,2564,7,0.27301092043681746
/record_501,1374,17,1.2372634643377
/record_502,1355,24,1.7712177121771218
/record_503,2489,5,0.2008838891120932
/record_504,2099,31,1.4768937589328253
/record_505,2630,8,0.3041825095057034
/record_506,1809,31,1.7136539524599224
/record_508,1977,16,0.8093070308548306
/record_509,2170,2,0.09216589861751152
/record_51,2218,60,2.7051397655545535
/record_510,1747,56,3.205495134516314
/record_511,3258,35,1.074278698588091
/record_512,3660,39,1.0655737704918031
/record_513,3767,77,2.0440668967348024
/record_514,5083,10,0.19673421207948064
/record_515,4340,14,0.3225806451612903
/record_516,3416,7,0.20491803278688525
/record_517,1157,30,2.592912705272256
/record_518,894,8,0.8948545861297539
/record_519,1688,79,4.680094786729858
/record_52,3768,24,0.6369426751592357
/record_520,1318,79,5.993930197268589
/record_521,3079,81,2.6307242611237416
/record_522,3187,9,0.2823972387825541
/record_523,1461,29,1.9849418206707734
/record_524,1023,61,5.962854349951124
/record_525,225,19,8.444444444444445
/record_526,109,0,0.0
