vol,N1_moy,ALT_moy,TAT_moy,M_moy,Q_moy
675,107.0934150409398,20366.946872345212,-16.44388580067082,0.4461740292384342,9338.286287262406
676,102.86455001637592,21222.65122478707,-23.571530578282786,0.44702089091803276,8120.799646313167
677,103.47570475781889,21029.50087258564,-13.96684153375148,0.4480884076016089,8153.406089353726
678,103.016741001221,20315.665213476164,-20.885660284444555,0.4569467182957044,8515.039287384969
679,107.14625486716257,22831.377823717303,-22.110232475860574,0.47166648014423085,8910.201828054478
680,106.21341499103629,22197.40459030285,-11.571449626119193,0.4864690186613692,8680.799460962093
681,104.50630430128808,19193.62623308962,-19.225055095940476,0.4330905970952382,9026.070857220147
682,107.93498795675666,24189.62978077188,-18.258664897326977,0.48607322603441866,8655.603852598453
683,105.68771457787234,20642.086450243653,-19.027058678707355,0.4496111410538379,8959.449746274267
684,107.1689268388835,24893.38273541482,-17.313946691594758,0.505170677914113,8404.428961811289
685,101.990428346555,20064.119532524997,-17.71154424075579,0.45080859591895367,8189.758044153722
686,106.74336401609276,21606.04870080119,-20.00778473679516,0.4694211247622417,9206.401652620987
687,107.70948667892142,24413.83727549791,-19.749941473568065,0.5010145281642858,8754.250529236491
688,106.98557830121293,22243.448971832775,-18.59760603710469,0.4796083516465185,9042.339165311869
689,104.66192730007634,21535.134128003116,-15.886252424198814,0.4768530253635071,8611.713211754904
690,105.92491367799545,19617.24341703333,-14.732189193909198,0.46193382172995284,9398.81994916118
691,108.56851542443611,24621.578827007743,-15.52797232395823,0.4904573250074813,8740.98100365675
692,105.41143842264715,18931.626681914062,-12.604534473419728,0.42772676060951836,9100.430155954651
693,107.69371534040003,19615.377913486012,-13.382517973647355,0.43450893120151146,9556.072998188816
694,106.73621229781811,21278.887826173494,-15.132833643861833,0.463651614095858,9108.691990645406
695,107.3440883624531,23600.093574963706,-19.077629235854612,0.48348753615354334,8838.842803167108
696,106.66913672245995,20813.367201913763,-14.673838762373132,0.4600559457859609,9196.67791147105
697,106.40106202727894,20312.61954378981,-14.1227572220625,0.46003726437818876,9314.375004903326
698,102.813558983345,19873.027775440332,-14.224709469279604,0.4622938605,8518.407787050877
699,105.68174808248321,18734.627799274018,-13.019485886957943,0.4446198088317757,9412.902315426187
700,104.20083124361389,19270.463798399327,-15.951654084737722,0.44794598119999995,8975.79859125266
701,102.4540643074093,15211.58441561342,-12.595286099976596,0.3827023126047548,9312.694223437704
702,109.04385847102455,23706.30776721199,-17.314674605281393,0.46392215596951775,8858.363425842206
703,105.34713600048192,18268.161366080203,-16.04161593477381,0.4089297760416667,9199.39963990945
704,104.07947819100784,20119.63747351746,-15.174507970090572,0.43711203069595256,8481.896919238838
705,108.3623323252394,22507.66820322154,-14.09228871999947,0.4748382376013727,9125.194453632193
706,107.77785215062669,23327.357752750497,-17.158882062905167,0.4792603442712022,8820.410345230493
707,108.15704493057662,22947.700231448343,-15.859646095833499,0.47504932802542377,8985.82427133647
708,107.17305501425548,24392.346519786952,-17.813872499958777,0.481459875893617,8392.441873844835
709,108.10508917140942,23479.785045929966,-17.052106092684213,0.48753638983333336,8948.958227777006
710,101.23537112064463,17219.047307156845,-11.260412270531889,0.43380155155355404,8577.18686764265
711,108.47809178554358,23049.84768393558,-10.862920360379146,0.48733605037108996,9029.03240587294
712,107.43658284817862,23746.954419855352,-16.875496501270778,0.4876305155670242,8567.882600282694
713,108.63987513184145,24933.6403788894,-16.66428197434173,0.4990279090232557,8670.83226582096
714,108.06350140038721,22675.69727195641,-13.894894776619186,0.4823053572514535,9098.770357706364
715,102.97435059350441,17749.819040751856,-14.664383281587185,0.422606028480427,8858.088124671971
716,101.248005108732,16027.370465587666,-7.888186068557299,0.40970423669781014,8828.704512400021
717,105.32829893719149,23275.57857776902,-19.298989393417603,0.478270734882353,8297.7360744687
718,109.31657640324373,23569.58576807386,-9.90866647761293,0.4776127493438618,9054.498084794335
719,107.82753595921976,21851.109350097417,-18.364187187304346,0.4474664013959628,9095.749397611778
720,103.64084473884171,18503.81653391422,-6.162050299137641,0.4356201641207865,8876.080696791281
721,106.81947065720335,19624.699731144945,-13.724547955336044,0.45157100031627906,9469.783254610837
722,105.45455707150848,22461.137768177345,-18.659357136857043,0.46491327643093927,8655.432896104221
723,105.523511512028,23810.704184895487,-17.162365039891334,0.4967414230021777,8303.933987516424
